Smiles,DNNscore
Cc1ccc(C)c(NC(=O)N2CCN(c3nc(N4CCCC4)cc(C)[nH+]3)CC2)c1,-5.960965156555176
O=C(CCc1ccc2nc[nH]c2c1)Nc1ccc(F)cc1,-7.156569480895996
N#Cc1ccc(C(=O)N(CCC(=O)N2CC[NH2+]CC2)C[C@H]2CCCO2)cc1,-6.62908935546875
O=C([O-])CSc1c2c(nc3cc(C(=O)Nc4cccc(Cl)c4)ccc13)CCC2,-7.327618598937988
NC(=O)[C@@H]1C[N@@H+](C2CCSCC2)C[C@H]1COc1ccccc1,-7.092721939086914
O=C1CC[C@]2(C(=O)NCCN3CCOCC3)CCC=C2N1C1CCCC1,-7.94919490814209
Cc1cnn(CCC(=O)N2CCC([N@H+]3CC(F)(F)C[C@H]3CO)CC2)c1,-7.716043472290039
CN1C(=O)c2ccccc2CC[C@H]1C(=O)NC1CCCC1,-7.020814895629883
O=C([O-])c1cccnc1SCC(=O)N1CCCCCC1,-5.37303352355957
CC(C)CC(=O)N[C@H]1CC[C@@H](NC(=O)CC(C)C)CC1,-6.796689033508301
O=c1c2ccccc2[nH]c(=S)n1CCC1=CCCCC1,-8.260939598083496
CCc1[nH+]c(CC(C)C)nc(N2CCN(C(=O)NC(C)(C)C)CC2)c1Cc1ccc(C)cc1,-7.212143898010254
COc1ccc(C(=O)N2CCOc3ccc(CCC(=O)NC4CC4)cc3C2)cn1,-7.482444763183594
CCN1C(=O)CC[C@]2(C(=O)NCCCn3cccn3)CCCC=C12,-7.240130424499512
Cc1ccccc1C(=O)Nc1ccc(C2(C(=O)NCCC(C)C)CC2)cc1,-7.220846176147461
CC(C)NC(=O)C1(c2cccc(C(F)(F)F)c2)CC1,-7.457134246826172
CC(C)CCNC(=O)CCC(=O)N1C[C@@H]2CCCN2c2ccccc21,-7.092894554138184
CCc1ccc(NC(=O)N2CCC(c3ccn4ncc(C(=O)N5CCCCC5)c4c3)CC2)cc1,-6.956059455871582
CO[C@@H]1CCC12CCN(C(=O)c1cc(-c3ccccc3C)n[nH]1)CC2,-6.534407615661621
CC(=O)C1(c2ccccc2)CC[NH+]([C@@H](C)C(=O)NC(C)C)CC1,-7.61411190032959
NC(=O)COC[C@@H]1CN(C(=O)CC2CCCCC2)C[C@H]1c1ccccn1,-7.158852577209473
O=C(NCCc1c[nH]c2ccccc12)C1CCN(c2ncnc3c2sc2cccc(F)c23)CC1,-8.231090545654297
COc1ccc(CN2Cc3cc(NC(=O)C4CCCC4)ccc3OCC2=O)c(OC)c1,-8.618964195251465
CC(C)CNC(=O)[C@@H]1CCc2ccccc2C(=O)N1C,-7.106882095336914
CN1C(=O)c2ccccc2CC[C@@H]1CNC(=O)c1ccccc1,-7.0436906814575195
CC1CCN(C(=O)c2cnn3ccc(C4CCN(C(=O)Nc5cccc(F)c5)CC4)cc23)CC1,-7.426372528076172
CC[NH+]1CCN(CCNC(=O)[C@@H]2CN(C(=O)c3ccccc3)CC23CCCCC3)CC1,-8.321585655212402
C[NH+]1CCC(NC(=O)[C@@H]2CO[C@]3(CC[C@@H](C)CC3)N2C(=O)c2ccccc2F)CC1,-7.942831039428711
CCc1nc(CC(C)C)nc(N2CCN(C(=O)NC(C)C)CC2)c1Cc1ccc(C)cc1,-7.1529436111450195
COC[C@@H]1[C@H](C(=O)NCCCN2CCCc3ccccc32)CCC[N@@H+]1C,-7.272486686706543
CCOCC(=O)N1CC[C@H](CO)[C@H](NC(=O)C2CC2)C1,-7.862067222595215
CNC(=O)CCC[C@@H]1[C@H]2CCC[N@@H+]3CCC[C@@H](CN1C(=O)C1CCC1)[C@@H]23,-6.873283386230469
CC(C)NC(=O)NC[C@H]1CCc2ccccc2C(=O)N1C,-6.784131050109863
O=C(NCc1ccc(F)cc1)C1CCN(c2cc(C(=O)N3CCCCC3)ccn2)CC1,-7.782142639160156
CNC(=O)N1CCC[C@@H](CCc2nnc(C3CCOCC3)o2)C1,-8.784667015075684
CC(C)CNC(=O)[C@@H](NC(=O)c1ccccc1Cl)C1CCN(C(=O)NC(C)(C)C)CC1,-7.3716278076171875
CNC(=O)c1noc([C@@H]2CC(F)(F)CN2Cc2ccc[nH]2)n1,-6.828023910522461
CCN1CC[NH+](CCCNC(=O)Cn2cc3c(n2)CCCC3)CC1,-6.981518745422363
CC[C@H](C)NC(=O)[C@@H]1CC[C@H](c2ccc(F)cc2)[N@H+](Cc2ccccc2)C1,-9.017745018005371
CO[C@@H]1CCC12CCN(C(=O)c1c[nH]nc1C)CC2,-6.164592742919922
CCC(C)(C)c1nnc(NC(=O)CCC2CCCC2)s1,-7.001611709594727
CC(C)CC[N@H+]1CC[C@H](CO)[C@H](NC(=O)C2CC2)C1,-7.620976448059082
O=C(CCC1CCCC1)N1CCCC[C@H]1c1nc(-c2ccncc2)n[nH]1,-6.892439842224121
CC(C)n1cc2cc(C(=O)NCCCN3CCOCC3)sc2c1,-7.741840362548828
O=C(NCCc1csc2c1CCCC2)Nc1ccc(Br)cc1F,-7.6466217041015625
CNC(=O)N1CCC(c2nnc(C(=O)Nc3ccc(C)cc3)s2)CC1,-7.057784080505371
CSc1cccc(NC(=O)N2CCC(OC3CC[NH+](Cc4ccccc4)CC3)CC2)c1,-7.199143409729004
Nc1ccc(C(=O)OCCCc2nc3ccc(N)cc3[nH]2)cc1,-7.693282127380371
CC(=O)Nc1ccc(C(=O)N(CCC(=O)N2CC[NH2+]CC2)CC[N@@H+]2CCCC[C@H]2C)cc1,-7.232610702514648
O=C(NC[C@@H]1CCCO1)c1ccc(NC(=O)C2CC2)cc1N1CCCCCC1,-8.101232528686523
CCC(=O)Nc1cc(C(=O)[O-])ccc1N1CCC(CC[NH+]2CCOCC2)CC1,-6.452975273132324
O=C1CCC2(CCN(C(=O)c3nccc4ccccc34)CC2)N1,-6.6905975341796875
Cc1ccc(C(=O)N2CCC[C@H]3CCCC[C@H]32)c(C2CCN(C(=O)Nc3cccc(Cl)c3)CC2)n1,-7.955413818359375
CC1CCN(C(=O)c2cccc([C@@H]3CCCN(C(=O)NC(C)C)C3)c2)CC1,-9.243219375610352
COCCC(=O)NC[C@]12CCC=C1N(CC1CC1)C(=O)CC2,-7.181587219238281
CCOc1ccc2nc(N3CCC[C@H](C(=O)N[C@H](C)CCc4ccccc4)C3)sc2c1,-9.04755973815918
