Smiles,docking score,SVMscore
CN(C)CCCNc1c2ccccc2nc2c([N+](=O)[O-])cccc12,-5.955,-3.874180089545903
O=C1c2c(O)ccc(Cl)c2C(=O)c2c(O)ccc(Cl)c21,-5.952,-3.896469325033662
CC1Cc2ccc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,-5.949,-5.0071281756699895
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-5.947,-3.9102263711922323
O=C1NCNC(=O)N1,-5.943,-2.76172036152668
OC[C@H]1O[C@@H](n2cnc3c(S)ncnc32)[C@H](O)[C@@H]1O,-5.942,-5.2630625271283265
CCOC(=O)N1CCN(c2ccc([NH+]([O-])O)c3no[n+]([O-])c23)CC1,-5.941,-4.146445970448842
Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1,-5.936,-4.478768320784745
[O-][n+]1cccc2c3c(ccc21)C(O)C(O)C1OC31,-5.936,-4.772174801538066
COc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(=O)C2=O,-5.935,-4.596153031468936
Oc1ccc2ccc3c4c(ccc3c2c1)[C@@H](O)[C@H](O)C=C4,-5.931,-3.9685039217334186
CCCCOc1ccc2nc3cc(Cl)ccc3c(NCCCN(CC)CCCl)c2n1,-5.926,-4.614840102947411
NCCc1cc(O)c(O)cc1O,-5.922,-4.7529076608433245
Cc1ccc(O)c(O)c1,-5.922,-3.802237262180033
Cc1c2cc(CO)ccc2nc2c3c(ccc12)C(O)C(O)C=C3,-5.909,-4.303415150975597
